batter,collapse_balls,collapse_runs,collapse_pressure_exposure,collapse_weighted_runs,collapse_dismissals,collapse_boundaries,collapse_sr_raw,collapse_pressure_sr_raw,collapse_boundary_rate_raw,collapse_dismissal_rate_raw,collapse_pressure_sr_raw_norm,collapse_pressure_exposure_norm,collapse_boundary_rate_raw_norm,collapse_balls_norm,collapse_dismissal_temp,collapse_dismissal_rate_norm,collapse_specialist_score
AS Rajpoot,25,19,110.4,81.1,2,2,76.0,73.46014492753622,0.08,0.08,0.23701368053055788,0.03493597487315777,0.24666666666666665,0.009345794392523366,0.17846153846153848,0.8215384615384616,0.21224449721670935
AS Raut,98,115,307.0,356.5,5,11,117.34693877551021,116.12377850162868,0.11224489795918367,0.05102040816326531,0.45264887712111274,0.1299347668518966,0.34608843537414963,0.14579439252336449,0.11381475667189954,0.8861852433281004,0.35331174722280073
AT Rayudu,239,274,762.9,875.7,36,34,114.64435146443515,114.78568619740466,0.14225941422594143,0.1506276150627615,0.4458857448488332,0.35022952403962304,0.4386331938633194,0.4093457943925234,0.3360154489861603,0.6639845510138397,0.4372126950467578
Abdul Samad,176,217,622.5,789.2,17,26,123.29545454545455,126.77911646586347,0.14772727272727273,0.09659090909090909,0.5065042500505257,0.2823870500120802,0.4554924242424242,0.29158878504672897,0.21547202797202797,0.7845279720279721,0.4383882286168742
Abhishek Sharma,36,24,114.4,67.5,16,2,66.66666666666666,59.0034965034965,0.05555555555555555,0.4444444444444444,0.16394530909087435,0.036868808891036484,0.17129629629629628,0.029906542056074764,0.9914529914529915,0.008547008547008517,0.09763318701212163
Abishek Porel,21,8,78.8,36.3,6,1,38.095238095238095,46.065989847715734,0.047619047619047616,0.2857142857142857,0.09855514989906569,0.019666586131915915,0.1468253968253968,0.0018691588785046676,0.6373626373626373,0.3626373626373627,0.09797886861697346
Aman Hakim Khan,52,47,154.70000000000002,128.70000000000002,5,5,90.38461538461539,83.19327731092437,0.09615384615384616,0.09615384615384616,0.2862079412887016,0.05634211162116454,0.296474358974359,0.05981308411214953,0.21449704142011836,0.7855029585798816,0.24625171967730114
Anuj Rawat,28,27,107.4,123.20000000000002,6,5,96.42857142857143,114.71135940409684,0.17857142857142858,0.21428571428571427,0.4455100742520229,0.03348634935974873,0.550595238095238,0.014953271028037382,0.478021978021978,0.521978021978022,0.30133019189443866
Anureet Singh,39,25,175.4,108.60000000000001,4,2,64.1025641025641,61.91562143671609,0.05128205128205128,0.10256410256410256,0.1786640889946186,0.06634452766368688,0.15811965811965809,0.03551401869158878,0.22879684418145957,0.7712031558185404,0.1852839301675793
Arshad Khan,34,58,126.3,207.1,1,8,170.58823529411765,163.97466349960413,0.23529411764705882,0.029411764705882353,0.6945020464169482,0.04261899009422565,0.7254901960784312,0.026168224299065415,0.06561085972850679,0.9343891402714932,0.45991814085326205
