bowler,momentum_balls,momentum_runs,momentum_pressure_exposure,momentum_weighted_runs,momentum_wickets,momentum_dot_balls,momentum_economy_raw,momentum_dot_rate_raw,momentum_wicket_rate_raw,momentum_pressure_exposure_norm,momentum_dot_rate_raw_norm,momentum_wicket_rate_raw_norm,momentum_balls_norm,momentum_eco_temp,momentum_economy_norm,momentum_breaker_score
AS Roy,30,81,71.8,195.7,1,6,16.200000000000003,0.2,0.03333333333333333,0.018379068283343968,0.5466666666666667,0.25333333333333335,0.009708737864077666,0.6190760059612521,0.3809239940387479,0.3234655118616373
Abhishek Sharma,58,133,137.2,294.8,2,9,13.758620689655173,0.15517241379310345,0.034482758620689655,0.06011486917677089,0.4241379310344828,0.2620689655172414,0.05501618122977347,0.39349401305308596,0.606505986946914,0.3822384763341433
Akash Deep,24,73,60.400000000000006,196.3,1,4,18.25,0.16666666666666666,0.041666666666666664,0.011104020421186984,0.45555555555555555,0.31666666666666665,0.0,0.8084947839046199,0.19150521609538007,0.24535944989772396
Akash Madhwal,42,94,94.3,213.79999999999998,3,7,13.428571428571429,0.16666666666666666,0.07142857142857142,0.03273771537970645,0.45555555555555555,0.5428571428571428,0.029126213592233004,0.36299765807962525,0.6370023419203747,0.4515975300296426
Anand Rajan,53,113,137.3,326.1,5,11,12.79245283018868,0.20754716981132076,0.09433962264150944,0.060178685386088074,0.5672955974842767,0.7169811320754718,0.046925566343042076,0.3042206787953772,0.6957793212046228,0.5394533133806947
Ankit Sharma,24,59,55.3,153.9,0,5,14.75,0.20833333333333334,0.0,0.007849393746011488,0.5694444444444445,0.0,0.0,0.4850968703427718,0.5149031296572282,0.32336214586574213
Anureet Singh,75,197,238.5,618.1999999999999,4,11,15.759999999999998,0.14666666666666667,0.05333333333333334,0.12476068921506064,0.4008888888888889,0.4053333333333334,0.08252427184466019,0.5784202682563335,0.4215797317436665,0.3495702911051442
Arshad Khan,30,92,92.4,308.6,0,5,18.400000000000002,0.16666666666666666,0.0,0.03152520740268029,0.45555555555555555,0.0,0.009708737864077666,0.8223546944858422,0.1776453055141578,0.18018814034551991
Arshdeep Singh,234,510,643.0,1392.1,9,48,13.076923076923077,0.20512820512820512,0.038461538461538464,0.3828972559029994,0.5606837606837607,0.2923076923076923,0.33980582524271846,0.33050556001375675,0.6694944399862433,0.5052258407422355
Avesh Khan,209,465,588.6,1362.8999999999999,13,57,13.349282296650719,0.2727272727272727,0.06220095693779904,0.34818123803446077,0.7454545454545454,0.4727272727272728,0.29935275080906154,0.3556713895564001,0.6443286104435999,0.571177503448703
Azhar Mahmood,84,175,272.2,583.0,5,20,12.5,0.23809523809523808,0.05952380952380952,0.14626675175494575,0.6507936507936508,0.4523809523809524,0.09708737864077668,0.27719821162444114,0.7228017883755589,0.530490642145621
Azmatullah Omarzai,27,64,55.199999999999996,124.8,1,6,14.222222222222221,0.2222222222222222,0.037037037037037035,0.007785577536694319,0.6074074074074074,0.2814814814814815,0.004854368932038833,0.4363305182977313,0.5636694817022687,0.4066964613908155
B Kumar,531,1166,1591.8,3540.9,13,109,13.175141242937851,0.20527306967984935,0.02448210922787194,0.9883854499042757,0.5610797237915882,0.18606403013182674,0.8203883495145632,0.3395808600031993,0.6604191399968007,0.5895068159150265
B Laughlin,34,80,103.2,247.5,1,5,14.117647058823529,0.14705882352941177,0.029411764705882353,0.03841735800893427,0.4019607843137255,0.2235294117647059,0.016181229773462785,0.42666783553958076,0.5733321644604192,0.35132219477075893
B Lee,108,202,323.4,604.1,7,28,11.222222222222223,0.25925925925925924,0.06481481481481481,0.17894065092533504,0.7086419753086419,0.4925925925925926,0.13592233009708737,0.15913230667329037,0.8408676933267096,0.6014690031122696
BA Bhatt,42,80,103.3,204.1,4,6,11.428571428571427,0.14285714285714285,0.09523809523809523,0.03848117421825144,0.3904761904761905,0.7238095238095238,0.029126213592233004,0.1781988503299976,0.8218011496700024,0.5367720935465017
BA Stokes,108,206,329.9,629.5,5,24,11.444444444444445,0.2222222222222222,0.046296296296296294,0.18308870453095086,0.6074074074074074,0.35185185185185186,0.13592233009708737,0.17966550753436006,0.8203344924656399,0.541240398048
BAW Mendis,32,64,74.6,167.29999999999998,0,7,12.0,0.21875,0.0,0.02016592214422463,0.5979166666666667,0.0,0.012944983818770225,0.23099850968703417,0.7690014903129658,0.42194077887250414
BB Sran,115,273,305.2,744.4,4,21,14.243478260869566,0.1826086956521739,0.034782608695652174,0.16732610082961072,0.4991304347826087,0.26434782608695656,0.14724919093851133,0.43829456359748575,0.5617054364025142,0.4057066058307357
BCJ Cutting,48,120,122.39999999999999,317.8,1,6,15.0,0.125,0.020833333333333332,0.05067007019783025,0.3416666666666667,0.15833333333333333,0.03883495145631068,0.5081967213114753,0.4918032786885247,0.29816498303973105
