batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
MEK Hussey,90.04512602535279,488.6,0.12054850593532541,0.061809250920998766,0.0,0.0,0.12053956728021854,0.21585392168376688,0.0,3,Balanced Pressure Batter
MF Maharoof,117.60345671380105,163.5,0.19571865443425077,0.0654434250764526,0.0,0.0,0.3999079649732429,0.4363495469760247,0.0,1,Aggressive Accelerator
MG Johnson,99.23729332546927,331.7,0.10069339764847754,0.10400964727163099,0.0,0.0,0.30533481446080574,0.3915731606556103,0.0,1,Aggressive Accelerator
MJ Clarke,97.37099857707625,71.1,0.16315049226441633,0.059071729957805914,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MJ Guptill,104.27827035241144,27.0,0.22592592592592592,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MJ Lumb,122.00489903752737,88.6,0.2720090293453725,0.0598194130925508,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MJ McClenaghan,114.62841348324025,183.3,0.19421713038734315,0.17512274959083468,0.0,0.0,0.3196562652096613,0.31197979161649514,0.0,1,Aggressive Accelerator
MJ Santner,96.89267409324349,144.8,0.09944751381215468,0.11395027624309391,0.0,0.0,0.2815054817675909,0.37370034498942456,0.0,1,Aggressive Accelerator
MK Lomror,124.59202642554912,238.4,0.19756711409395974,0.14135906040268456,0.0,0.0,0.4572373861170138,0.38186804976453026,0.0,1,Aggressive Accelerator
MK Pandey,110.53840401573865,2058.7,0.13401661242531696,0.052751736532763396,0.42673892031536387,0.45597535755829594,0.3906015012374055,0.463285296380699,0.4144647028060253,2,Clutch Finisher
MK Tiwary,112.08915140204313,983.5,0.15292323335027963,0.07219115404168785,0.4106811075443676,0.4518788560007152,0.40767865974247575,0.4786317342392796,0.42325095574233507,2,Clutch Finisher
ML Hayden,113.65683890502892,233.20000000000002,0.16766723842195538,0.035162950257289875,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MM Ali,106.97929823929142,353.4,0.14997170345217883,0.08743633276740238,0.0,0.34316184820724166,0.29865643270373776,0.3062127708304198,0.318039499073236,0,Anchor / Stabilizer
MM Sharma,108.78124060088766,279.1,0.13865997850232892,0.06879254747402365,0.0,0.0,0.3458878527561576,0.4218497174376092,0.0,1,Aggressive Accelerator
MN Samuels,62.140125154059234,83.7,0.009557945041816009,0.13978494623655913,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MN van Wyk,84.38943710100537,17.3,0.1329479768786127,0.0,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MP Stoinis,133.03536732490053,1473.1000000000001,0.18233656913990903,0.050234199986423186,0.4566039161071426,0.524163515628278,0.447944366263752,0.5267767503571594,0.4959129960415821,2,Clutch Finisher
MR Marsh,101.24474231203982,448.3,0.11956279277269685,0.09524871737675664,0.0,0.20712875683152787,0.2691560126849267,0.3043291665255702,0.1545138807242882,1,Aggressive Accelerator
MS Bisla,107.32410845637793,508.1,0.17299744144853377,0.05471363904743161,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MS Dhoni,136.2873127887929,3715.7000000000003,0.1734800979626988,0.04760879511263019,0.7751754244367469,0.6950529470932936,0.7907105519790214,0.8659539952502635,0.6562612174260741,2,Clutch Finisher
MS Gony,93.40617086731548,141.29999999999998,0.11464968152866242,0.11748053786270346,0.0,0.0,0.24622995958262275,0.3222200402880251,0.0,1,Aggressive Accelerator
MS Wade,92.2782420448555,163.5,0.12660550458715597,0.07400611620795107,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MV Boucher,128.40617997602354,378.7,0.14496963295484555,0.050963823607076846,0.0,0.0,0.40767582962658655,0.4455987980330174,0.0,1,Aggressive Accelerator
Mandeep Singh,119.94713064684834,868.6,0.1538107299102003,0.07230025328114206,0.46749890326969523,0.45731224626665445,0.3520664714724514,0.40998650566286415,0.437864095138712,2,Clutch Finisher
Mohammad Nabi,119.3443788224809,235.1,0.18034878774989366,0.09527860484900043,0.0,0.0,0.3537398048159433,0.41190741594143404,0.0,1,Aggressive Accelerator
Mohammed Shami,103.69663875757861,188.9,0.16622551614610903,0.14346214928533615,0.0,0.0,0.3199198195209612,0.34695911595461904,0.0,1,Aggressive Accelerator
Mohammed Siraj,97.81080483351444,436.5,0.1450171821305842,0.06391752577319589,0.0,0.30010075816237547,0.3458820610587821,0.4470228730997274,0.2630712976288484,0,Anchor / Stabilizer
N Jagadeesan,108.33089800771283,122.6,0.1769983686786297,0.09298531810766722,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
N Pooran,147.90984948743312,1144.3,0.21873634536397799,0.0606484313554138,0.44883561913509534,0.5647385308692586,0.5139055932519234,0.4974306475405199,0.5507682364042912,2,Clutch Finisher
N Rana,122.0470963427372,1489.8,0.17713787085514834,0.05772586924419385,0.0,0.5641844359465843,0.3628679580461179,0.3716370520798409,0.5454348579947382,0,Anchor / Stabilizer
N Saini,64.51861542727028,52.3,0.042065009560229454,0.14340344168260039,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
N Wadhera,120.07006237126708,197.0,0.20253807106598984,0.15329949238578683,0.0,0.0,0.3879692421152062,0.3466921474385817,0.0,1,Aggressive Accelerator
NK Patel,110.35314699045203,213.8,0.15575304022450887,0.04443405051449953,0.0,0.0,0.37222876167839125,0.45710995121734965,0.0,1,Aggressive Accelerator
NLTC Perera,135.7249119710051,361.0,0.1889196675900277,0.07922437673130195,0.0,0.0,0.4285718340803299,0.4653376337289514,0.0,1,Aggressive Accelerator
NV Ojha,105.02643784102658,876.3,0.12963596941686636,0.06333447449503594,0.0,0.4133120125309627,0.2978880686921968,0.3733311994711612,0.3852640698627076,0,Anchor / Stabilizer
Naman Dhir,158.21074231203897,190.20000000000002,0.2928496319663512,0.02365930599369085,0.0,0.0,0.6041843450631297,0.5256275999643285,0.0,0,Anchor / Stabilizer
Nithish Kumar Reddy,110.66748182335536,89.5,0.10279329608938546,0.06368715083798883,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
OA Shah,103.72272688198896,237.1,0.10923660902572754,0.061999156474061574,0.0,0.34410826936984507,0.0,0.0,0.30237001727808654,3,Balanced Pressure Batter
P Dogra,97.89356436029132,181.3,0.07666850523993379,0.0700496414782129,0.0,0.0,0.2915157488990732,0.38693185940347896,0.0,1,Aggressive Accelerator
P Kumar,103.20316315215128,602.4,0.1304780876494024,0.10889774236387784,0.2139399720427936,0.26462596002659133,0.3758925245597413,0.4627175733108839,0.24568443242404078,0,Anchor / Stabilizer
P Negi,102.73358731334876,366.7,0.1107172075265885,0.11098991000818109,0.0,0.0,0.29974989095293236,0.39302643613857996,0.0,1,Aggressive Accelerator
