batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AB de Villiers,MM Patel,7,4,0,0,57.14285714285714,0.0,0.0,0.11111111111111109,0.0,0.0,1.0,0.3055555555555555,0.6944444444444444
AB de Villiers,MM Sharma,12,29,0,4,241.66666666666666,0.0,0.3333333333333333,0.46990740740740733,0.3333333333333333,0.0,1.0,0.568287037037037,0.431712962962963
AB de Villiers,MS Gony,8,8,1,1,100.0,0.125,0.125,0.19444444444444442,0.125,0.2916666666666667,0.7083333333333333,0.3055555555555555,0.6944444444444444
AB de Villiers,Mohammed Shami,11,21,0,3,190.9090909090909,0.0,0.2727272727272727,0.37121212121212116,0.2727272727272727,0.0,1.0,0.5037878787878788,0.4962121212121212
AB de Villiers,Mujeeb Ur Rahman,7,15,0,2,214.28571428571428,0.0,0.2857142857142857,0.4166666666666666,0.2857142857142857,0.0,1.0,0.5297619047619047,0.47023809523809534
AB de Villiers,Mustafizur Rahman,7,5,0,0,71.42857142857143,0.0,0.0,0.13888888888888887,0.0,0.0,1.0,0.3194444444444444,0.6805555555555556
AB de Villiers,P Kumar,15,26,0,4,173.33333333333334,0.0,0.26666666666666666,0.337037037037037,0.26666666666666666,0.0,1.0,0.48518518518518516,0.5148148148148148
AB de Villiers,PC Valthaty,10,14,0,1,140.0,0.0,0.1,0.2722222222222222,0.1,0.0,1.0,0.4111111111111111,0.5888888888888889
AB de Villiers,PP Chawla,31,26,3,2,83.87096774193549,0.0967741935483871,0.06451612903225806,0.16308243727598565,0.06451612903225806,0.22580645161290325,0.7741935483870968,0.29121863799283154,0.7087813620071685
AB de Villiers,PP Ojha,19,21,1,2,110.5263157894737,0.05263157894736842,0.10526315789473684,0.2149122807017544,0.10526315789473684,0.12280701754385966,0.8771929824561403,0.3530701754385965,0.6469298245614035
AB de Villiers,PV Tambe,10,13,0,2,130.0,0.0,0.2,0.25277777777777777,0.2,0.0,1.0,0.4263888888888889,0.5736111111111111
AB de Villiers,R Ashwin,32,39,1,4,121.875,0.03125,0.125,0.23697916666666663,0.125,0.07291666666666667,0.9270833333333334,0.38151041666666663,0.6184895833333334
AB de Villiers,R Bhatia,8,9,0,1,112.5,0.0,0.125,0.21874999999999997,0.125,0.0,1.0,0.390625,0.609375
AB de Villiers,R Tewatia,10,19,0,2,190.0,0.0,0.2,0.3694444444444444,0.2,0.0,1.0,0.4847222222222222,0.5152777777777777
AB de Villiers,R Vinay Kumar,11,5,1,0,45.45454545454545,0.09090909090909091,0.0,0.08838383838383837,0.0,0.21212121212121213,0.7878787878787878,0.24116161616161613,0.7588383838383839
