batter,high_rrr_balls,high_rrr_runs,high_rrr_pressure_exposure,high_rrr_weighted_runs,high_rrr_boundaries,high_rrr_dismissals,high_rrr_sr_raw,high_rrr_pressure_sr_raw,high_rrr_boundary_rate_raw,high_rrr_dismissal_rate_raw,high_rrr_pressure_sr_raw_norm,high_rrr_pressure_exposure_norm,high_rrr_boundary_rate_raw_norm,high_rrr_balls_norm,high_rrr_dismissal_temp,high_rrr_dismissal_rate_norm,high_rrr_specialist_score
KL Rahul,362,459,953.3000000000001,1189.8,51,16,126.79558011049723,124.80855973985103,0.1408839779005525,0.04419889502762431,0.43949686903222773,0.41363518084829565,0.4410687038396607,0.5122807017543859,0.16891876899864652,0.8310812310013534,0.4810757178260564
KM Jadhav,196,235,538.7,644.6,26,9,119.89795918367348,119.65843697790979,0.1326530612244898,0.04591836734693878,0.4032374579467308,0.19786625032526672,0.4048889610957672,0.2210526315789474,0.17908368166543728,0.8209163183345627,0.38604292045425015
KP Pietersen,80,77,174.2,155.1,6,5,96.25,89.03559127439725,0.075,0.0625,0.18763748056815843,0.008170699973978651,0.15146968769136557,0.017543859649122792,0.27710843373493976,0.7228915662650602,0.1810266123517505
KS Williamson,242,344,591.4,796.5,39,11,142.1487603305785,134.68041934392966,0.16115702479338842,0.045454545454545456,0.5089996424821708,0.2252927400468384,0.5301807250256841,0.3017543859649123,0.17634173055859806,0.823658269441402,0.46723581554800425
KV Sharma,136,140,576.2,575.7,13,7,102.94117647058823,99.91322457480042,0.09558823529411764,0.051470588235294115,0.26422139821596624,0.21738225344782725,0.24196714815748713,0.11578947368421051,0.21190644932671868,0.7880935506732814,0.2879467420431986
Kuldeep Yadav,123,77,605.6,377.8,6,5,62.601626016260155,62.384412153236454,0.04878048780487805,0.04065040650406504,0.0,0.23268279989591467,0.03621943751586934,0.09298245614035087,0.1479413589316616,0.8520586410683384,0.14828455720322573
LMP Simmons,86,127,195.4,276.2,17,2,147.67441860465115,141.3510747185261,0.19767441860465115,0.023255813953488372,0.5559643550953516,0.01920374707259953,0.6906962503026246,0.02807017543859648,0.04511067525917625,0.9548893247408238,0.46266169153112746
LRPL Taylor,137,180,412.0,499.3,21,10,131.38686131386862,121.18932038834951,0.15328467153284672,0.072992700729927,0.4140156342094998,0.13192818110850899,0.49557708038136794,0.1175438596491228,0.3391375721865565,0.6608624278134435,0.368947934728032
LS Livingstone,99,170,302.8,531.8,24,4,171.7171717171717,175.62747688243064,0.24242424242424243,0.04040404040404041,0.7972871767137557,0.07509758001561281,0.887398170313051,0.050877192982456146,0.14648492961745976,0.8535150703825403,0.6018532470877347
Lalit Yadav,93,108,321.0,320.8,14,8,116.12903225806453,99.93769470404985,0.15053763440860216,0.08602150537634409,0.2643936800268635,0.08456934686442882,0.48350222889463956,0.04035087719298246,0.4161592606987089,0.5838407393012911,0.2817909488119864
MA Agarwal,158,186,366.8,405.6,21,10,117.72151898734178,110.57797164667393,0.13291139240506328,0.06329113924050633,0.33930649153831505,0.1084048920114494,0.4060244792918214,0.15438596491228074,0.2817853693254029,0.7182146306745971,0.325868530434668
