batter,death_balls,death_runs,death_pressure_exposure,death_weighted_runs,death_boundaries,death_dismissals,death_sr_raw,death_pressure_sr_raw,death_boundary_rate_raw,death_dismissal_rate_raw,death_pressure_sr_raw_norm,death_pressure_exposure_norm,death_boundary_rate_raw_norm,death_balls_norm,death_dismissal_temp,death_dismissal_rate_norm,death_specialist_score
N Pooran,136,212,406.2,638.4,31,10,155.88235294117646,157.16395864106352,0.22794117647058823,0.07352941176470588,0.5853660622090984,0.1300193148317576,0.5929185322422932,0.09890109890109891,0.3978848505346412,0.6021151494653588,0.44883561913509534
P Kumar,101,113,477.40000000000003,523.7,13,10,111.88118811881189,109.69836614997905,0.12871287128712872,0.09900990099009901,0.24104103492109075,0.16620921012503814,0.19426903320253286,0.034798534798534814,0.5805194407101038,0.41948055928989625,0.2139399720427936
PP Chawla,146,178,606.9,723.2,25,23,121.91780821917808,119.16295930136762,0.17123287671232876,0.15753424657534246,0.3096991117318645,0.23203212361492326,0.3650930619973872,0.11721611721611722,1.0,0.0,0.25502629353681966
R Ashwin,129,196,604.8,902.8,27,15,151.93798449612405,149.27248677248676,0.20930232558139536,0.11627906976744186,0.5281197259919614,0.23096472501778997,0.5180369895623512,0.08608058608058608,0.7042983656130751,0.29570163438692487,0.39922645535956397
R Tewatia,206,368,742.5,1219.7,56,12,178.64077669902915,164.26936026936028,0.27184466019417475,0.05825242718446602,0.636910085598569,0.30095557588695737,0.7693006820749347,0.2271062271062271,0.28838515477729165,0.7116148452227083,0.5626873930646996
R Vinay Kumar,102,105,449.8,456.0,11,11,102.94117647058823,101.37839039573144,0.10784313725490197,0.10784313725490197,0.180686244676874,0.1521805428484294,0.1104249223748992,0.03663003663003664,0.6438327653042643,0.35616723469573575,0.16407531804799258
RA Jadeja,382,590,1353.4,2094.3,75,23,154.4502617801047,154.74360868922713,0.19633507853403143,0.060209424083769635,0.5678083531513398,0.6114669106434888,0.4659411029118742,0.5494505494505494,0.30241217456946956,0.6975878254305304,0.5673087814597165
RG Sharma,260,441,634.6,1084.3,64,19,169.6153846153846,170.86353608572327,0.24615384615384617,0.07307692307692308,0.6847455733434569,0.2461116193961574,0.6660878928595464,0.32600732600732596,0.3946415813288878,0.6053584186711122,0.5494747062563674
RK Singh,111,231,422.0,875.6,36,2,208.10810810810813,207.4881516587678,0.32432432432432434,0.018018018018018018,0.9504279570400271,0.13805021856256988,0.9801376179328934,0.05311355311355312,0.0,1.0,0.7091201054264588
RR Pant,126,233,332.2,593.5,37,15,184.92063492063494,178.65743527995184,0.29365079365079366,0.11904761904761904,0.7412840976068336,0.09240622140896614,0.856906775541946,0.0805860805860806,0.7241422884943451,0.27585771150565486,0.5220206176420894
RV Uthappa,125,198,392.4,617.5,24,12,158.4,157.36493374108053,0.192,0.096,0.5868239763141541,0.12300498119345325,0.44852493438320207,0.07875457875457875,0.5589455992923485,0.44105440070765145,0.4010164715872157
Rashid Khan,166,293,737.2,1231.5,45,17,176.50602409638554,167.05100379815516,0.2710843373493976,0.10240963855421686,0.6570886914831939,0.2982616651418115,0.7662460867090407,0.15384615384615383,0.6048874844801586,0.3951125155198414,0.5306328939000476
S Dhawan,98,132,230.3,300.8,16,3,134.6938775510204,130.6122448979592,0.16326530612244897,0.030612244897959183,0.3927545497571049,0.04061197519568974,0.33308336457942744,0.02930402930402931,0.09027069474406305,0.909729305255937,0.32574422131386205
SA Yadav,111,192,299.3,449.8,29,8,172.97297297297297,150.28399599064483,0.26126126126126126,0.07207207207207207,0.535457418852527,0.07568364338721155,0.7267819000102463,0.05311355311355312,0.3874391862007961,0.6125608137992039,0.44124351291177805
