bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index
Anand Rajan,111,235.1,163,416.1,8,18.6,33,59.4,2.118018018018018,10.619310931518504,0.2526584432156529,0.07911527009783072,111,10.319285060929532,0.014376078205865443,0.3004033820291905,0.5294357205295924,0.004027386226339108,0.720335398478358,0.27966460152164196,0.266409581397845
Ankit Sharma,192,351.3,214,416.4,6,9.8,76,137.0,1.8296875000000001,7.111870196413321,0.38998007401081697,0.02789638485624822,192,7.636944045960571,0.039124230613592326,0.727513672893428,0.13270581798196351,0.03664921465968586,0.15561783809234542,0.8443821619076546,0.4771112109007648
Anureet Singh,194,476.0,317,835.9,12,36.7,59,132.7,2.4536082474226806,10.53655462184874,0.27878151260504197,0.07710084033613446,194,10.355544992007198,0.06568270398057632,0.38165374077137304,0.5138324031345083,0.037454691904953694,0.7279692599835406,0.27203074001645944,0.28790586257451883
Arshdeep Singh,712,1587.0,1006,2361.9,38,96.0,243,511.9,2.228932584269663,8.9296786389414,0.3225582860743541,0.06049149338374291,712,8.977155606741965,0.3023023023023023,0.5178122639501862,0.3851801576449408,0.24607329842931935,0.43777472969635967,0.5622252703036403,0.44733000411357676
Avesh Khan,610,1332.3,858,2104.3,37,75.2,223,431.6,2.184098360655738,9.476694438189599,0.3239510620731067,0.05644374390152369,610,9.490068164707205,0.2480565672055034,0.5221442031974216,0.3538272055054375,0.20499395892066052,0.5457590340070595,0.4542409659929405,0.3918865008109926
Azhar Mahmood,311,708.6,383,992.1,16,40.9,114,250.9,2.2784565916398716,8.400508044030483,0.3540784645780412,0.05771944679650014,311,8.574014911647037,0.11522160458330673,0.615849204895666,0.3637085116450886,0.08457511075312123,0.3529008719147222,0.6470991280852778,0.4481369899008062
B Kumar,2003,4431.6,2490,6168.3,85,185.9,836,1593.8,2.2124812780828758,8.351340373679934,0.3596443722357613,0.04194873183500316,2003,8.383047320941065,0.9081421847379296,0.6331607997612873,0.24155211991047193,0.7660088602496979,0.31269615844449294,0.6873038415555071,0.6283211422144386
B Lee,354,740.5,434,1011.3,11,32.3,144,270.0,2.09180790960452,8.194193112761646,0.36461850101282917,0.043619176232275486,354,8.37476669140773,0.12201563265393055,0.6486317898483381,0.25449100446087314,0.1018928715263794,0.3109528242142703,0.6890471757857297,0.4502827024375752
BA Bhatt,186,375.6,234,486.3,12,19.4,62,115.4,2.0193548387096776,7.7683706070287535,0.30724174653887115,0.051650692225772094,186,8.167704721688343,0.044299618767703886,0.47017336235723983,0.316701311115942,0.034232782923882404,0.26735973529078483,0.7326402647092152,0.4238672484504055
BA Stokes,291,724.9,384,1008.0,17,39.2,98,230.2,2.49106529209622,8.34321975444889,0.3175610429024693,0.05407642433439096,291,8.535303020398027,0.11869316124635275,0.5022693813591194,0.3354904834792194,0.07652033830044302,0.34475079529803865,0.6552492047019614,0.42234520263035147
BAW Mendis,123,229.5,142,303.4,5,6.1,40,74.8,1.8658536585365855,7.932026143790848,0.3259259259259259,0.026579520697167753,123,8.42948322021604,0.013183396162119568,0.5282866053063294,0.12250568599868651,0.008860249697946035,0.32247238287179525,0.6775276171282048,0.3701566586499874
BB Sran,301,596.1,435,988.8,11,26.1,103,184.1,1.9803986710963455,9.952692501258177,0.3088407985237376,0.04378459989934575,301,9.910033687435362,0.09126147424019766,0.47514688003547145,0.25577233877743055,0.08054772452678212,0.63417504976262,0.36582495023738004,0.29596656993437126
BCJ Cutting,158,312.9,223,522.5,7,11.3,52,83.1,1.980379746835443,10.019175455417066,0.26558005752636626,0.03611377436880793,158,9.931207227725947,0.03094583945647776,0.3405933682296649,0.1963558588826388,0.022956101490132913,0.6386327491941637,0.3613672508058363,0.24080586927198838
BE Hendricks,106,238.7,162,375.6,5,12.9,36,76.4,2.2518867924528303,9.441139505655636,0.3200670297444491,0.0540427314620863,106,9.509116468016655,0.015142802376844934,0.5100637307473561,0.3352295061095846,0.002013693113169554,0.5497693038848921,0.4502306961151079,0.32911218067951964
BJ Hodge,118,269.3,150,356.90000000000003,8,20.400000000000002,38,91.60000000000001,2.2822033898305087,7.9517266988488675,0.3401411065725956,0.07575194949870034,118,8.458125784971829,0.021659957830170606,0.5724999597904693,0.5033841997431513,0.006846556584776481,0.32850254801553413,0.6714974519844659,0.45413458943429036
BW Hilfenhaus,222,473.8,280,667.2,11,26.8,98,185.3,2.1342342342342344,8.449134655972985,0.39109328830730267,0.056563951034191644,222,8.670475275871704,0.0652141503205333,0.7309760937750697,0.354758302771689,0.048731373338703185,0.37320882726227533,0.6267911727377247,0.4511790496495056
Basil Thampi,293,703.4,405,1110.0,17,40.0,91,176.8,2.400682593856655,9.468296843901053,0.25135058288313905,0.05686664771111743,293,9.495254684181075,0.11411411411411411,0.2963355552505891,0.35710292277995037,0.07732581554571084,0.546850960278862,0.45314903972113796,0.3141395581801944
