bowler,death_balls,death_runs_conceded,death_pressure_exposure,death_weighted_runs_conceded,death_wickets,death_weighted_wickets,death_dot_balls,death_weighted_dot_balls,death_economy_raw,death_pressure_economy_raw,death_dot_rate_raw,death_wicket_rate_raw,death_pressure_exposure_norm,death_dot_rate_raw_norm,death_wicket_rate_raw_norm,death_balls_norm,death_eco_temp,death_pressure_economy_norm,death_bowler_score
SP Narine,232,282,701.0,885.1,22,58.9,93,271.2,7.293103448275861,7.5757489300998575,0.40086206896551724,0.09482758620689655,0.3241366247869183,0.8835503317928664,0.5285145888594165,0.378021978021978,0.011682495873002852,0.9883175041269971,0.7147468020951412
SR Watson,173,260,603.5,1019.4,13,42.0,54,168.7,9.017341040462426,10.134879867439935,0.31213872832369943,0.07514450867052024,0.26257970831491884,0.5429106330572273,0.40284570920409085,0.24835164835164833,0.4199719911042765,0.5800280088957235,0.45638319264816946
SW Tait,63,73,187.6,242.2,6,14.4,20,51.300000000000004,6.9523809523809526,7.746268656716419,0.31746031746031744,0.09523809523809523,0.0,0.563342060764741,0.5311355311355311,0.006593406593406598,0.038887595890126025,0.961112404109874,0.555944200477851
Sandeep Sharma,233,380,720.2,1254.5,17,51.7,54,148.9,9.785407725321889,10.451263537906136,0.2317596566523605,0.07296137339055794,0.33625860218448134,0.2343074790201023,0.38890723010894696,0.3802197802197802,0.4704485522013524,0.5295514477986476,0.3984467169049867
Shakib Al Hasan,61,109,187.9,399.2,5,15.5,12,32.4,10.721311475409836,12.74720596061735,0.19672131147540983,0.08196721311475409,0.00018940589683692777,0.09978311081065849,0.4464060529634301,0.00219780219780219,0.8367483609259339,0.16325163907406615,0.16662409753504664
T Natarajan,158,260,546.1,1003.8,15,43.1,50,157.2,9.873417721518988,11.02874931331258,0.31645569620253167,0.0949367088607595,0.2263400467201212,0.5594849710731218,0.5292112950340799,0.21538461538461537,0.5625819293192129,0.4374180706807871,0.42632504650619557
TA Boult,279,482,921.3,1675.5,19,56.6,69,203.0,10.365591397849464,10.9117551286226,0.24731182795698925,0.06810035842293907,0.4632236883641643,0.2940176624912241,0.35787151916184184,0.4813186813186814,0.5439164144308988,0.4560835855691012,0.4076225126662914
TG Southee,153,251,494.3,878.1,7,23.2,35,103.3,9.843137254901961,10.65870928585879,0.22875816993464052,0.0457516339869281,0.1936359618662794,0.22278372975765326,0.21518350930115637,0.20439560439560442,0.5035449125648033,0.49645508743519673,0.3108376831335832
TU Deshpande,112,169,364.7,584.2,9,27.6,32,102.3,9.053571428571429,9.61118727721415,0.2857142857142857,0.08035714285714286,0.11181261443272932,0.44145802650957267,0.4361263736263738,0.1142857142857143,0.3364208995208644,0.6635791004791356,0.4359700287883676
UT Yadav,152,222,513.6,802.8,15,53.9,56,180.8,8.763157894736842,9.378504672897195,0.3684210526315789,0.09868421052631579,0.20582107456278803,0.7589980104901426,0.5531376518218625,0.20219780219780217,0.2992981944339528,0.7007018055660472,0.558765705814716
VR Aaron,63,120,271.2,552.0,2,9.5,13,51.800000000000004,11.428571428571427,12.212389380530974,0.20634920634920634,0.031746031746031744,0.05278110991855546,0.1367479408716521,0.12576312576312576,0.006593406593406598,0.7514225230257663,0.2485774769742337,0.14808083741506134
WD Parnell,76,113,312.6,469.7,8,34.0,29,112.4,8.921052631578949,9.01535508637236,0.3815789473684211,0.10526315789473684,0.07891912368205063,0.8095157352143243,0.5951417004048584,0.03516483516483515,0.24136049409503202,0.758639505904968,0.5618096662593665
YS Chahal,159,237,524.5,868.1999999999999,17,53.5,56,162.2,8.943396226415093,9.93174451858913,0.3522012578616352,0.1069182389937107,0.21270282214786285,0.6967245888175666,0.605708756652153,0.21758241758241756,0.38756332149078343,0.6124366785092166,0.5285031716525908
Yash Thakur,73,109,245.4,395.6,10,28.599999999999998,26,82.5,8.95890410958904,9.67237163814181,0.3561643835616438,0.136986301369863,0.0364922027905802,0.7119404038977544,0.79768177028451,0.02857142857142858,0.34618238982786975,0.6538176101721302,0.5390915716724285
Z Khan,227,303,722.0,999.1,16,45.8,56,178.4,8.008810572687224,8.302770083102494,0.24669603524229075,0.07048458149779736,0.3373950375655028,0.2916534205307537,0.3730938664859371,0.36703296703296706,0.12767308285345313,0.8723269171465469,0.5255764307427517
