bowler,set_batter_balls,set_batter_runs,set_batter_pressure_exposure,set_batter_weighted_runs,set_batter_wickets,set_batter_weighted_wickets,set_batter_dot_balls,set_batter_economy_raw,set_batter_dot_rate_raw,set_batter_wicket_rate_raw,set_batter_pressure_exposure_norm,set_batter_dot_rate_raw_norm,set_batter_wicket_rate_raw_norm,set_batter_balls_norm,set_batter_eco_temp,set_batter_economy_norm,set_batter_control_score
I Sharma,321,516,1021.3000000000001,1731.5,14,40.1,104,9.644859813084112,0.32398753894080995,0.04361370716510903,0.3583795658487546,0.5950605946014081,0.25295950155763236,0.27373271889400924,0.5427572231105333,0.4572427768894667,0.42260324934746823
I Udana,38,63,126.2,228.1,2,6.8999999999999995,6,9.947368421052632,0.15789473684210525,0.05263157894736842,0.025095878169564732,0.2470337693945847,0.3052631578947368,0.012903225806451611,0.5750469494871671,0.42495305051283294,0.2753445520046867
IC Pandey,46,70,115.30000000000001,194.8,3,6.9,15,9.130434782608695,0.32608695652173914,0.06521739130434782,0.02103734594332949,0.5994596632319679,0.3782608695652174,0.020276497695852533,0.4878475675245633,0.5121524324754367,0.4089018254513565
IK Pathan,286,466,867.6,1514.5,13,38.9,72,9.776223776223777,0.2517482517482518,0.045454545454545456,0.3011505380347768,0.44369214600428475,0.2636363636363636,0.24147465437788018,0.5567789941074479,0.4432210058925521,0.37304018053200283
IS Sodhi,47,51,122.5,146.5,2,7.0,17,6.51063829787234,0.3617021276595745,0.0425531914893617,0.023718211267081207,0.6740868281884147,0.24680851063829787,0.021198156682027652,0.20821085826633695,0.7917891417336631,0.4995012455764562
Imran Tahir,324,471,871.7,1357.4,14,37.4,88,8.722222222222221,0.2716049382716049,0.043209876543209874,0.302677141899691,0.48529936487547276,0.2506172839506173,0.2764976958525346,0.4442750160956929,0.555724983904307,0.42386952615072165
Iqbal Abdulla,210,295,567.0,842.8000000000001,13,30.5,55,8.428571428571427,0.2619047619047619,0.06190476190476191,0.1892244107681424,0.46497385081200115,0.35904761904761906,0.17142857142857143,0.41293077157669994,0.5870692284233001,0.42959251468035053
J Botha,167,208,443.8,569.2,14,34.5,61,7.473053892215569,0.3652694610778443,0.08383233532934131,0.14335182633950183,0.6815617320272749,0.4862275449101796,0.13179723502304147,0.3109389637924516,0.6890610362075484,0.5363222107977509
J Little,32,71,109.3,252.1,2,7.8999999999999995,8,13.3125,0.25,0.0625,0.01880329150686972,0.440028901734104,0.3625,0.007373271889400922,0.9342406221408965,0.06575937785910346,0.2081406640238393
J Suchith,103,174,245.5,452.6,3,6.5,24,10.135922330097086,0.23300970873786409,0.02912621359223301,0.06951632721450647,0.404427857904484,0.16893203883495145,0.0728110599078341,0.5951731672869716,0.40482683271302844,0.2908155024049053
J Syed Mohammad,32,50,69.0,111.3,4,7.5,10,9.375,0.3125,0.125,0.003797892541981606,0.5709898843930635,0.725,0.007373271889400922,0.5139524245196705,0.4860475754803295,0.4589812389595195
J Theron,53,90,155.6,284.0,3,6.300000000000001,12,10.18867924528302,0.22641509433962265,0.05660377358490566,0.0360427449082176,0.39060966299487404,0.3283018867924528,0.026728110599078342,0.6008044330128259,0.39919556698717407,0.3093083271034496
J Yadav,65,70,176.0,199.70000000000002,1,2.7,25,6.461538461538462,0.38461538461538464,0.015384615384615385,0.04363852999218082,0.7220987105380169,0.08923076923076924,0.03778801843317972,0.20296994862411138,0.7970300513758886,0.48547400430475507
