batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index
BCJ Cutting,58,180.4,93,276.7,12,35.1,4,13.9,3.110344827586207,153.38137472283813,0.19456762749445677,0.0770509977827051,58,127.38033246500696,0.4949305539375318,0.0441518412372249,0.406233622253578,0.010260168559912056,0.220145707950586,0.779854292049414,0.3472620876494226
BJ Hodge,585,922.5,746,1216.5,92,151.9,22,56.2,1.5769230769230769,131.869918699187,0.16466124661246614,0.06092140921409214,585,129.1415096241268,0.5081671796451671,0.24479532796193154,0.34379272398784605,0.20337119824111397,0.1740611691831204,0.8259388308168796,0.41689440886648516
BJ Rohrer,76,134.3,102,213.20000000000002,13,27.6,4,7.7,1.767105263157895,158.74906924795232,0.20551005212211465,0.0573343261355175,76,134.3324240884168,0.5471809673770581,0.031687665603201215,0.42908007852162733,0.016855991205569805,0.16381236038719282,0.8361876396128072,0.3757190944918238
Bipul Sharma,74,295.8,119,488.20000000000005,14,58.300000000000004,4,13.8,3.9972972972972975,165.04394861392834,0.19709263015551048,0.04665314401622718,74,137.69522878811964,0.5724550784495003,0.07535283620829504,0.41150552174892957,0.01612312202271895,0.1332946971892205,0.8667053028107795,0.39486742546828435
C Green,223,457.1,340,636.9,46,83.5,9,16.7,2.0497757847533635,139.33493765040473,0.1826733756289652,0.03653467512579304,223,131.62141856533475,0.5268056376071091,0.11896393229870762,0.38139986608593046,0.0707218761451081,0.10438478607369438,0.8956152139263056,0.39189482422987154
C Munro,56,81.5,59,84.5,8,13.0,3,5.8,1.4553571428571428,103.68098159509202,0.15950920245398773,0.07116564417177913,56,100.63293529831407,0.29390291562435245,0.017411993727356294,0.33303588027514414,0.009527299377061196,0.20333041191936893,0.796669588080631,0.25209500075110614
C de Grandhomme,150,386.9,170,396.6,19,41.0,8,20.8,2.579333333333333,102.50710777978807,0.10597053502196951,0.053760661669682096,150,101.18511169632174,0.29805295372084384,0.09998377764559563,0.2212536322125364,0.043972150971051664,0.15360189048480596,0.846398109515194,0.26364161544651427
CA Ingram,121,152.6,127,148.0,16,17.2,8,15.299999999999999,1.2611570247933883,96.98558322411533,0.1127129750982962,0.10026212319790301,121,97.0538698386789,0.26700343556523576,0.03663548369653382,0.23533102982644272,0.03334554781971418,0.2864632091368657,0.7135367908631343,0.22578363669863805
CA Lynn,503,417.4,710,496.3,109,80.1,20,26.5,0.8298210735586481,118.90273119310015,0.1919022520364159,0.06348826066123622,503,116.94218799715283,0.4164797230896815,0.10823014113448332,0.40066864137300173,0.17332356174422867,0.1813950304606749,0.8186049695393252,0.3561972448842864
CA Pujara,189,227.20000000000002,182,207.5,21,24.7,7,13.1,1.2021164021164021,91.32922535211266,0.10871478873239436,0.057658450704225345,189,92.56142160604783,0.2332391686041636,0.05680527767263289,0.22698330132309008,0.058263100036643464,0.16473843058350096,0.8352615694164991,0.23096984012180197
CH Gayle,1543,1511.1,2092,1778.8,321,280.9,54,83.9,0.9793259883344134,117.7155714380253,0.18589107272847594,0.05552246707696381,1543,117.0722428758124,0.4174571873620033,0.40393662466879354,0.38811802760581804,0.5544155368266764,0.15863562021989658,0.8413643797801034,0.4732866725214446
CH Morris,213,663.5,335,995.4,40,113.5,12,45.0,3.115023474178404,150.02260738507914,0.1710625470987189,0.06782215523737754,213,139.98392222554372,0.5896564021402094,0.17476883144973773,0.3571578634879314,0.06705753023085378,0.19377758639250725,0.8062224136074927,0.4150708775645984
CJ Anderson,178,260.3,231,248.1,32,33.0,10,25.2,1.462359550561798,95.31310026892046,0.12677679600461006,0.09681137149442949,178,95.73108780773676,0.2570616925976418,0.06575460985237658,0.26469458317326167,0.05423231953096372,0.2766039185555128,0.7233960814444872,0.23615424255961454
CJ Ferguson,68,80.9,56,65.7,5,9.1,2,5.7,1.1897058823529412,81.21137206427689,0.11248454882571074,0.07045735475896168,68,87.9943175649743,0.19891380477209442,0.017249770183312606,0.23485410345731733,0.013924514474166363,0.20130672788274764,0.7986932721172524,0.20020159584694808
CL White,288,347.2,288,316.0,32,35.7,17,33.5,1.2055555555555555,91.01382488479263,0.1028225806451613,0.09648617511520738,288,91.9317684589243,0.22850683205814915,0.08924998648137134,0.21468108504398833,0.09454012458776108,0.27567478604344964,0.7243252139565504,0.22806843295995136
CM Gautam,84,195.20000000000002,91,201.70000000000002,11,27.2,5,12.5,2.323809523809524,103.32991803278688,0.13934426229508196,0.06403688524590163,84,101.04977079888236,0.29703576087737327,0.048153355323635974,0.29093392945851965,0.019787467936973252,0.18296252927400464,0.8170374707259953,0.2567569320976
CR Brathwaite,30,73.5,34,87.5,6,16.2,4,11.8,2.45,119.04761904761905,0.2204081632653061,0.16054421768707483,30,105.40480929655887,0.32976728606073114,0.015249013140107067,0.4601855287569574,0.0,0.45869776482021374,0.5413022351797863,0.2581147698838361
D Brevis,138,158.3,189,162.4,28,26.8,6,8.8,1.1471014492753624,102.59001895135818,0.1692987997473152,0.05559065066329753,138,101.16158929565727,0.2978761644570673,0.0381766073649489,0.3534753728057582,0.0395749358739465,0.15883043046656437,0.8411695695334356,0.269860290511116
D Padikkal,486,428.4,569,410.7,73,53.3,22,35.3,0.8814814814814814,95.86834733893558,0.12441643323996265,0.08239962651727357,486,95.99435257279632,0.2590403334964616,0.111204239441951,0.25976643182525544,0.16709417368999632,0.23542750433506732,0.7645724956649327,0.2663433216807559
